"구","동","계약년월","p1","p2"
"성동구","행당동","202402",123840.909090909,5112.48312863603
"성동구","행당동","202403",114392.307692308,5406.31281836755
"성동구","행당동","202404",117658.064516129,5367.75879452274
"성동구","행당동","202405",124485.087719298,5267.831089416
"성동구","행당동","202406",125643.209876543,5383.24115742784
"성동구","행당동","202407",135630.769230769,5732.11089227138
"성동구","행당동","202408",131553.333333333,5779.67790903049
"성동구","행당동","202409",132450,5300.67647016765
"성동구","행당동","202410",134135.185185185,6197.40057420152
"성동구","행당동","202411",128489.285714286,5258.69985994003
"성동구","행당동","202412",125808.333333333,5658.66060066459
"성동구","행당동","202501",120329.62962963,5799.55736997205
"성동구","행당동","202502",127095,5828.47148015244
"성동구","행당동","202503",136354.032258065,5769.87018711883
"성동구","행당동","202504",141087.5,5717.32527173465
"성동구","행당동","202505",146293.62745098,6100.75570254434
"성동구","행당동","202506",152648.75,6199.07179527556
"성동구","행당동","202507",122000,6711.11851975329
"성동구","홍익동","202404",65500,2691.78082191781
"성동구","홍익동","202406",85000,3300.7766533302
"성동구","홍익동","202408",58250,2567.56646254481
"성동구","홍익동","202410",59950,2908.05526973394
"성동구","홍익동","202411",59900,2905.62986917536
"성동구","홍익동","202412",85000,3300.7766533302
"성동구","홍익동","202503",87500,3397.85831960461
"성동구","홍익동","202505",57909,2559.96760551193
"성동구","홍익동","202506",92000,3572.60531889856
"성북구","길음동","202401",91310,4170.01810551032
"성북구","길음동","202402",87631.4285714286,4102.22928638487
"성북구","길음동","202403",90747.9166666667,3824.75057241493
"성북구","길음동","202404",88485.4838709677,4089.25709390752
"성북구","길음동","202405",89888.1355932203,4227.5774467397
"성북구","길음동","202406",95150.5208333333,4388.62248959895
"성북구","길음동","202407",93579.8245614035,4177.56451721546
"성북구","길음동","202408",94159.4059405941,4192.624967439
"성북구","길음동","202409",104225.581395349,4331.77868286334
"성북구","길음동","202410",96368.75,4346.89689017884
"성북구","길음동","202411",94663.6363636364,4348.63518851873
"성북구","길음동","202412",87254.4117647059,3929.62462297869
"성북구","길음동","202501",91555,4038.2210308567
"성북구","길음동","202502",91018.8311688312,4115.35915738487
"성북구","길음동","202503",94900.406504065,4262.50444598845
"성북구","길음동","202504",93393.3333333333,4186.45006270881
"성북구","길음동","202505",99507.3913043478,4533.68131901649
"성북구","길음동","202506",104432.544378698,4644.867007131
"성북구","길음동","202507",93425,4774.25683677505
"성북구","돈암동","202401",74485.1851851852,3013.53099167317
"성북구","돈암동","202402",69693.1034482759,2792.99274452103
"성북구","돈암동","202403",68379.4117647059,2947.35271414516
"성북구","돈암동","202404",71807.6086956522,2940.52642018258
"성북구","돈암동","202405",68861.1111111111,2971.67235162226
"성북구","돈암동","202406",73711,3190.88405385314
"성북구","돈암동","202407",79682.4675324675,3303.16412428317
"성북구","돈암동","202408",75102.8846153846,3184.95219646404
"성북구","돈암동","202409",77686.5384615385,3134.16305550984
"성북구","돈암동","202410",74126.5625,3107.96846773655
"성북구","돈암동","202411",77725,3301.93639574625
"성북구","돈암동","202412",73129.1666666667,3096.26859854831
"성북구","돈암동","202501",75846,3398.21641247889
"성북구","돈암동","202502",71715.5172413793,3229.41599751962
"성북구","돈암동","202503",74350.9433962264,3395.32210534248
"성북구","돈암동","202504",71241.25,3314.81908467493
"성북구","돈암동","202505",73673.7704918033,3124.14314217252
"성북구","돈암동","202506",76068.1034482759,3241.67179466532
"성북구","돈암동","202507",73485.7142857143,3284.31479580656
"성북구","동선동1가","202401",84500,2467.26243142807
"성북구","동선동1가","202405",83000,2423.46487347372
"성북구","동선동1가","202502",70000,2745.09803921569
"성북구","동선동4가","202411",60500,2934.73467587829
"성북구","동선동5가","202410",39000,2117.47285291214
"성북구","동소문동4가","202402",56000,3154.12186379928
"성북구","동소문동4가","202403",52500,2956.98924731183
"성북구","동소문동4가","202405",53500,3013.31285202253
"성북구","동소문동4가","202407",76000,2955.10781194768
"성북구","동소문동4가","202408",58800,3311.82795698925
"성북구","동소문동4가","202410",56000,3154.12186379928
"성북구","동소문동4가","202411",50250,2830.26113671275
"성북구","동소문동4가","202412",53000,2985.15104966718
"성북구","동소문동4가","202501",77500,2569.14432160964
"성북구","동소문동4가","202502",78000,2307.48543254146
"성북구","동소문동4가","202503",67000,3076.05722821404
"성북구","동소문동4가","202505",56966.6666666667,3208.56801501963
"성북구","동소문동4가","202506",71600,3112.08793858124
"성북구","동소문동5가","202402",25000,5348.80705394191
"성북구","동소문동5가","202403",90000,3495.84500576756
"성북구","동소문동5가","202404",53400,4117.81942887171
"성북구","동소문동5가","202405",99500,3389.60713835446
"성북구","동소문동5가","202410",65500,3818.14073160373
"성북구","동소문동5가","202411",21250,4765.75580548882
"성북구","동소문동5가","202412",22500,4942.67193991545
"성북구","동소문동5가","202502",68666.6666666667,4042.71241860976
"성북구","동소문동5가","202503",21300,4987.58248775988
"성북구","동소문동5가","202505",92000,3573.53045034017
"성북구","동소문동6가","202405",20000,4710.92077087794
"성북구","동소문동6가","202406",20400,4801.71184022825
"성북구","동소문동6가","202407",19700,4636.94721825963
"성북구","동소문동6가","202502",20000,4707.56062767475
"성북구","동소문동6가","202505",49000,2258.06451612903
"성북구","동소문동7가","202402",69250,3814.47170756134
"성북구","동소문동7가","202403",70000,3855.78367551327
"성북구","동소문동7가","202404",66200,2909.3039996648
"성북구","동소문동7가","202406",73400,4043.06459689534
"성북구","동소문동7가","202407",84666.6666666667,4072.40023553319
"성북구","동소문동7가","202408",61533.3333333333,3232.83452566684
"성북구","동소문동7가","202409",69650,3836.5047571357
"성북구","동소문동7가","202410",82666.6666666667,4070.80486616135
"성북구","동소문동7가","202411",70250,3869.55433149725
"성북구","동소문동7가","202412",72000,3965.94892338508
"성북구","동소문동7가","202501",74000,4076.11417125689
"성북구","동소문동7가","202502",80250,3705.9858475176
"성북구","동소문동7가","202503",81360,4201.90683078711
"성북구","동소문동7가","202504",82833.3333333333,3620.83499641622
"성북구","동소문동7가","202505",72225,3978.34251377066
"성북구","동소문동7가","202506",81750,3986.07035206492
"성북구","보문동1가","202402",93000,5132.81085366221
"성북구","보문동1가","202404",105000,5795.1090283283
"성북구","보문동1가","202407",102833.333333333,5675.52741345803
"성북구","보문동1가","202408",98000,5408.76842643974
"성북구","보문동1가","202409",108000,5960.68357199482
"성북구","보문동1가","202412",141000,5480.21035150844
"성북구","보문동1가","202501",97000,5353.57691188424
"성북구","보문동1가","202502",107000,5905.49205743931
"성북구","보문동1가","202503",112050,5593.66048935175
"성북구","보문동1가","202504",120166.666666667,5849.67947597183
"성북구","보문동1가","202505",99000,5463.95994099525
"성북구","보문동1가","202506",106916.666666667,5900.89276455969
"성북구","보문동2가","202505",30000,1888.59214040443
"성북구","보문동3가","202402",94250,3144.13928542792
"성북구","보문동3가","202403",73000,4043.98916354816
"성북구","보문동3가","202404",87000,4002.06240315759
"성북구","보문동3가","202405",85600,3969.12614024635
"성북구","보문동3가","202406",94333.3333333333,3650.3752313791
"성북구","보문동3가","202407",82100,3957.55659355074
"성북구","보문동3가","202408",98875,3570.20355923135
"성북구","보문동3가","202409",97000,3770.14039385659
"성북구","보문동3가","202410",78333.3333333333,3833.7326348697
"성북구","보문동3가","202411",95500,3711.83925374541
"성북구","보문동3가","202501",90500,3520.33325175784
"성북구","보문동3가","202502",92666.6666666667,3508.48029785411
"성북구","보문동3가","202503",91375,3899.73603474632
"성북구","보문동3가","202504",83700,4630.51131601006
"성북구","보문동3가","202505",98250,3830.07488127448
"성북구","보문동3가","202506",86000,4218.62241208101
"성북구","보문동4가","202402",81000,3222.61739707035
"성북구","보문동4가","202403",63500,3506.87820062255
"성북구","보문동4가","202405",104500,2946.80623798334
"성북구","보문동4가","202406",99000,2788.2801764972
"성북구","보문동4가","202410",103000,2900.93796140617
"성북구","보문동4가","202501",97000,3902.32603501243
"성북구","보문동4가","202506",102500,2886.85573829255
"성북구","보문동6가","202401",87000,4850.48150025342
"성북구","보문동6가","202402",83980,5030.76069244306
"성북구","보문동6가","202403",93340,4615.23937833105
"성북구","보문동6가","202404",80098,3836.72223200529
"성북구","보문동6가","202405",97460,4318.95259886276
"성북구","보문동6가","202406",87806.6666666667,4573.52297387832
"성북구","보문동6가","202407",98041.6666666667,4822.22494138036
